,Type,Onset,Duration
312,Mic1,312.4465,0.0285
313,Mic1,313.4465,0.0285
314,Mic1,314.4465,0.02875
315,Mic1,315.4465,0.0285
316,Mic1,316.4465,0.0285
317,Mic1,317.4465,0.0285
318,Mic1,318.4465,0.0285
319,Mic1,319.4465,0.02775
320,Mic1,320.4465,0.0285
321,Mic1,321.4465,0.02775
322,Mic1,322.4465,0.0285
323,Mic1,323.4465,0.0285
324,Mic1,324.4465,0.02775
325,Mic1,325.4465,0.0285
326,Mic1,326.4465,0.02775
327,Mic1,327.4465,0.0285
328,Mic1,328.4465,0.02775
329,Mic1,329.4465,0.0285
330,Mic1,330.4465,0.0285
331,Mic1,331.4465,0.02775
332,Mic1,332.44625,0.028
333,Mic1,333.44625,0.02875
334,Mic1,334.44625,0.02875
335,Mic1,335.44625,0.02875
336,Mic1,336.44625,0.02775
337,Mic1,337.44625,0.0285
338,Mic1,338.44625,0.02775
339,Mic1,339.44625,0.02875
340,Mic1,340.44625,0.02775
341,Mic1,341.44625,0.02775
342,Mic1,342.44625,0.0285
343,Mic1,343.44625,0.0285
344,Mic1,344.44625,0.0285
345,Mic1,345.44625,0.0285
346,Mic1,346.44625,0.02775
347,Mic1,347.44625,0.0285
348,Mic1,348.44625,0.0285
349,Mic1,349.44625,0.0285
350,Mic1,350.44625,0.0285
351,Mic1,351.44625,0.02775
352,Mic1,352.44625,0.0285
353,Mic1,353.44625,0.0285
354,Mic1,354.44625,0.0285
355,Mic1,355.44625,0.0285
356,Mic1,356.44625,0.0285
357,Mic1,357.446,0.0285
358,Mic1,358.446,0.02875
359,Mic1,359.446,0.02875
360,Mic1,360.446,0.02875
361,Mic1,361.446,0.02775
362,Mic1,362.446,0.02875
363,Mic1,363.446,0.02775
364,Mic1,364.446,0.02875
365,Mic1,365.446,0.02875
366,Mic1,366.446,0.0285
367,Mic1,367.446,0.0285
368,Mic1,368.446,0.0285
369,Mic1,369.446,0.02875
370,Mic1,370.446,0.02775
371,Mic1,371.446,0.0285
372,Mic1,372.446,0.0285
373,Mic1,373.446,0.0285
374,Mic1,374.446,0.02775
375,Mic1,375.446,0.0285
376,Mic1,376.446,0.0285
377,Mic1,377.446,0.0285
378,Mic1,378.446,0.0285
379,Mic1,379.446,0.02775
