,Type,Onset,Duration,,
424,Mic1,"426,283","0,0205","1,00049999999999",1.00049999999999
425,Mic1,"427,2835","0,025",1,1
426,Mic1,"428,2835","0,02",1,1
427,Mic1,"429,2835","0,02425","1,00099999999998",1.00099999999998
428,Mic1,"430,2845","0,024","0,999000000000024",0.999000000000024
429,Mic1,"431,2835","0,025",1,1
430,Mic1,"432,2835","0,025",1,1
431,Mic1,"433,2835","0,025",1,1
432,Mic1,"434,2835","0,025",1,1
433,Mic1,"435,2835","0,025","0,999500000000012",0.999500000000012
434,Mic1,"436,283","0,02475","0,999750000000006",0.999750000000006
435,Mic1,"437,28275","0,02575","1,00074999999998",1.00074999999998
436,Mic1,"438,2835","0,02475",1,1
437,Mic1,"439,2835","0,01975",1,1
438,Mic1,"440,2835","0,02475","1,00099999999998",1.00099999999998
439,Mic1,"441,2845","0,02375",1,1
440,Mic1,"442,2845","0,025","0,99875000000003",0.99875000000003
441,Mic1,"443,28325","0,02","0,999500000000012",0.999500000000012
442,Mic1,"444,28275","0,0255",1,1
443,Mic1,"445,28275","0,02675",1,1
444,Mic1,"446,28275","0,0205",1,1
445,Mic1,"447,28275","0,0265",1,1
446,Mic1,"448,28275","0,0205","1,00049999999999",1.00049999999999
447,Mic1,"449,28325","0,025",1,1
448,Mic1,"450,28325","0,025",1,1
449,Mic1,"451,28325","0,02",1,1
450,Mic1,"452,28325","0,02",1,1
451,Mic1,"453,28325","0,025","0,999500000000012",0.999500000000012
452,Mic1,"454,28275","0,02475","1,00049999999999",1.00049999999999
453,Mic1,"455,28325","0,025","1,00099999999998",1.00099999999998
454,Mic1,"456,28425","0,024","0,998250000000041",0.998250000000041
455,Mic1,"457,2825","0,02","1,00074999999998",1.00074999999998
456,Mic1,"458,28325","0,025",1,1
457,Mic1,"459,28325","0,025",1,1
458,Mic1,"460,28325","0,02",1,1
459,Mic1,"461,28325","0,025",1,1
460,Mic1,"462,28325","0,025","0,999250000000018",0.999250000000018
461,Mic1,"463,2825","0,02675",1,1
462,Mic1,"464,2825","0,0255","1,00074999999998",1.00074999999998
463,Mic1,"465,28325","0,025","1,005",1.005
464,Mic1,"466,28825","0,01975","0,995000000000005",0.995000000000005
465,Mic1,"467,28325","0,025",1,1
466,Mic1,"468,28325","0,02475",1,1
467,Mic1,"469,28325","0,02475","1,99925000000002",1.99925000000002
468,Mic1,"471,2825","0,0205","1,00074999999998",1.00074999999998
469,Mic1,"472,28325","0,02475","0,999750000000006",0.999750000000006
470,Mic1,"473,283","0,025",1,1
471,Mic1,"474,283","0,025","1,00624999999997",1.00624999999997
472,Mic1,"475,28925","0,01975","0,993250000000046",0.993250000000046
473,Mic1,"476,2825","0,0205",1,1
474,Mic1,"477,2825","0,0205",1,1
475,Mic1,"478,2825","0,02475","1,00049999999999",1.00049999999999
476,Mic1,"479,283","0,025",1,1
477,Mic1,"480,283","0,025",1,1
478,Mic1,"481,283","0,025",1,1
479,Mic1,"482,283","0,025",1,1
480,Mic1,"483,283","0,025","0,999500000000012",0.999500000000012
481,Mic1,"484,2825","0,0255",1,1
482,Mic1,"485,2825","0,0205",1,1
483,Mic1,"486,2825","0,02475","1,00049999999999",1.00049999999999
484,Mic1,"487,283","0,025",1,1
485,Mic1,"488,283","0,025",1,1
486,Mic1,"489,283","0,02",1,1
487,Mic1,"490,283","0,025","1,00099999999998",1.00099999999998
488,Mic1,"491,284","0,024","0,998500000000036",0.998500000000036
489,Mic1,"492,2825","0,0205","1,00049999999999",1.00049999999999
490,Mic1,"493,283","0,02475",1,1
491,Mic1,"494,283","0,02",1,1
492,Mic1,"495,283","0,025","0,999249999999961",0.999249999999961
493,Mic1,"496,28225","0,02575",1,1
494,Mic1,"497,28225","0,0255",1,1
495,Mic1,"498,28225","0,0255",1,1
496,Mic1,"499,28225","0,0205",1,1
497,Mic1,"500,28225","0,0255","2,00050000000004",2.00050000000004
498,Mic1,"502,28275","0,025","0,999499999999955",0.999499999999955
499,Mic1,"503,28225","0,0205",1,1
500,Mic1,"504,28225","0,0205","1,00050000000005",1.00050000000005
501,Mic1,"505,28275","0,02775","0,999499999999955",0.999499999999955
502,Mic1,"506,28225","0,0205","1,00050000000005",1.00050000000005
503,Mic1,"507,28275","0,025","0,999499999999955",0.999499999999955
504,Mic1,"508,28225","0,0255",1,1
505,Mic1,"509,28225","0,02475",1,1
506,Mic1,"510,28225","0,02825","1,00150000000002",1.00150000000002
507,Mic1,"511,28375","0,024","0,998250000000041",0.998250000000041
508,Mic1,"512,282","0,02075",1,1
509,Mic1,"513,282","0,02675","1,00024999999994",1.00024999999994
