Type,Onset,Duration
Opto1,137.44325,0.21125
Opto1,137.7105,0.211
Opto1,137.9775,0.22775
Opto1,138.2445,0.228
Opto1,138.5115,0.228
Opto1,138.7955,0.211
Opto1,139.0625,0.21125
Opto1,139.3295,0.228
Opto1,139.5965,0.228
Opto1,139.86375,0.22775
Opto1,140.13075,0.228
Opto1,140.4145,0.21125
Opto1,140.68175,0.211
Opto1,140.94875,0.21125
Opto1,141.21575,0.228
Opto1,141.48275,0.228
Opto1,141.75,0.22775
Opto1,142.03375,0.21125
Opto1,142.30075,0.21125
Opto1,143.0185,0.228
Opto1,143.2855,0.228
Opto1,143.55275,0.22775
Opto1,143.81975,0.228
Opto1,144.1035,0.21125
Opto1,144.3705,0.228
Opto1,144.6375,0.228
Opto1,145.3555,0.22775
Opto1,145.6225,0.228
Opto1,145.90625,0.21125
Opto1,146.1735,0.211
Opto1,146.4405,0.21125
Opto1,146.7075,0.228
Opto1,146.9745,0.228
Opto1,147.24175,0.22775
Opto1,147.5255,0.21125
Opto1,147.7925,0.21125
Opto1,148.05975,0.211
Opto1,148.32675,0.22775
Opto1,148.59375,0.228
Opto1,148.86075,0.228
Opto1,149.1445,0.21125
Opto1,149.41175,0.211
Opto1,149.67875,0.228
Opto1,149.94575,0.228
Opto1,150.21275,0.228
Opto1,150.48,0.22775
Opto1,150.76375,0.228
Opto1,151.0475,0.21125
Opto1,151.7485,0.21125
Opto1,152.01575,0.22775
Opto1,152.28275,0.228
Opto1,152.5665,0.21125
Opto1,152.83375,0.22775
Opto1,153.1005,0.228
Opto1,153.36775,0.228
Opto1,153.63475,0.228
Opto1,153.90175,0.228
Opto1,154.18575,0.211
Opto1,154.9035,0.21125
Opto1,155.1705,0.228
Opto1,155.4375,0.228
Opto1,155.70475,0.22775
Opto1,155.97175,0.22775
Opto1,156.2555,0.21125
Opto1,156.5225,0.21125
Opto1,156.78975,0.22775
Opto1,157.05675,0.228
Opto1,157.32375,0.228
Opto1,158.04175,0.22775
Opto1,158.32525,0.21125
Opto1,158.5925,0.21125
Opto1,158.8595,0.228
Opto1,159.1265,0.228
Opto1,159.3935,0.228
Opto1,159.66075,0.22775
Opto1,159.9445,0.21125
Opto1,160.2115,0.21125
Opto1,160.47875,0.22775
Opto1,160.74575,0.2445
Opto1,161.0295,0.21125
Opto1,161.27975,0.228
Opto1,161.56375,0.211
Opto1,161.83075,0.22775
Opto1,162.09775,0.228
Opto1,162.36475,0.228
Opto1,162.632,0.22775
Opto1,163.3665,0.211
Opto1,163.6335,0.21125
Opto1,163.9005,0.21125
Opto1,164.16775,0.22775
Opto1,164.43475,0.22775
Opto1,164.70175,0.228
Opto1,164.9855,0.21125
Opto1,165.25275,0.211
Opto1,165.51975,0.21125
Opto1,165.78675,0.228
Opto1,166.05375,0.228
Opto1,166.321,0.22775
Opto1,166.60475,0.21125
Opto1,167.3225,0.21125
Opto1,167.5895,0.21125
Opto1,167.85675,0.22775
Opto1,168.12375,0.22775
Opto1,168.39075,0.228
Opto1,168.6745,0.21125
Opto1,168.94175,0.211
Opto1,169.20875,0.22775
Opto1,169.47575,0.228
Opto1,169.74275,0.228
Opto1,170.01,0.22775
Opto1,170.29375,0.21125
Opto1,170.56075,0.21125
Opto1,170.828,0.22775
Opto1,171.095,0.22775
Opto1,171.362,0.228
Opto1,171.64575,0.21125
Opto1,172.3635,0.21125
Opto1,172.63075,0.22775
Opto1,172.89775,0.22775
Opto1,173.16475,0.228
Opto1,173.43175,0.228
Opto1,174.16625,0.21125
Opto1,174.4335,0.211
Opto1,174.7005,0.22775
Opto1,175.41825,0.228
Opto1,176.136,0.228
Opto1,176.403,0.228
Opto1,176.67,0.228
Opto1,177.40475,0.211
Opto1,177.67175,0.21125
Opto1,177.93875,0.228
Opto1,178.20575,0.228
Opto1,178.47275,0.228
Opto1,178.74,0.228
Opto1,179.02375,0.21125
Opto1,179.29075,0.228
Opto1,179.558,0.22775
Opto1,179.825,0.228
Opto1,180.092,0.228
Opto1,180.359,0.228
Opto1,180.643,0.211
Opto1,181.36075,0.21125
Opto1,181.62775,0.228
Opto1,181.89475,0.228
Opto1,182.16175,0.228
Opto1,182.44575,0.21125
Opto1,183.1635,0.21125
Opto1,183.4305,0.21125
Opto1,183.6975,0.228
Opto1,184.4155,0.22775
Opto1,184.6825,0.22775
Opto1,184.96625,0.21125
Opto1,185.23325,0.21125
Opto1,185.50025,0.21125
Opto1,185.7675,0.22775
Opto1,186.0345,0.228
Opto1,186.3015,0.228
Opto1,186.5855,0.211
Opto1,186.8525,0.21125
Opto1,187.1195,0.228
Opto1,187.3865,0.228
Opto1,187.6535,0.228
Opto1,187.92075,0.228
Opto1,188.65525,0.21125
Opto1,188.92225,0.21125
Opto1,189.18925,0.228
Opto1,189.45625,0.228
Opto1,189.7235,0.228
Opto1,189.9905,0.228
Opto1,190.27425,0.21125
Opto1,190.5415,0.21125
Opto1,190.8085,0.228
Opto1,191.0755,0.228
Opto1,191.3425,0.228
Opto1,191.60975,0.228
Opto1,191.8935,0.21125
Opto1,192.61125,0.21125
Opto1,192.87825,0.228
Opto1,193.14525,0.228
Opto1,193.4125,0.228
Opto1,193.6795,0.228
Opto1,193.96325,0.21125
Opto1,194.2305,0.22775
Opto1,194.4975,0.228
Opto1,194.7645,0.228
Opto1,195.0315,0.228
Opto1,195.3155,0.21125
Opto1,195.5825,0.21125
Opto1,196.30025,0.228
Opto1,196.56725,0.228
Opto1,196.8345,0.22775
Opto1,197.1015,0.228
Opto1,197.38525,0.21125
Opto1,198.103,0.21125
Opto1,198.37,0.228
Opto1,198.63725,0.22775
Opto1,198.90425,0.228
Opto1,199.17125,0.228
Opto1,199.455,0.21125
Opto1,199.72225,0.21125
Opto1,199.98925,0.228
Opto1,200.25625,0.228
Opto1,200.52325,0.228
Opto1,200.7905,0.228
Opto1,201.07425,0.21125
Opto1,201.34125,0.21125
Opto1,201.6085,0.22775
Opto1,201.8755,0.228
Opto1,202.1425,0.228
Opto1,202.4095,0.228
Opto1,202.6935,0.21125
Opto1,202.9605,0.21125
Opto1,203.2275,0.228
Opto1,203.4945,0.228
Opto1,203.76175,0.22775
Opto1,204.0455,0.21125
Opto1,204.3125,0.21125
Opto1,204.57975,0.22775
Opto1,204.84675,0.228
Opto1,205.11375,0.228
Opto1,205.38075,0.228
Opto1,205.66475,0.211
Opto1,205.93175,0.21125
Opto1,206.19875,0.228
Opto1,206.46575,0.228
Opto1,207.18375,0.22775
Opto1,207.45075,0.22775
Opto1,207.7345,0.21125
Opto1,208.0015,0.21125
Opto1,208.2685,0.228
Opto1,208.53575,0.22775
Opto1,208.80275,0.228
Opto1,209.06975,0.228
Opto1,209.35375,0.211
Opto1,209.62075,0.21125
Opto1,209.88775,0.228
Opto1,210.6055,0.228
Opto1,210.8725,0.228
Opto1,211.13975,0.22775
Opto1,211.4235,0.21125
Opto1,211.6905,0.228
Opto1,211.9575,0.228
Opto1,212.22475,0.22775
Opto1,212.49175,0.228
Opto1,212.75875,0.228
Opto1,213.0425,0.21125
Opto1,213.30975,0.22775
Opto1,213.57675,0.228
Opto1,213.84375,0.228
Opto1,214.56175,0.22775
Opto1,214.8455,0.2445
Opto1,215.129,0.19475
Opto1,215.3795,0.21125
Opto1,215.6465,0.228
Opto1,215.9135,0.228
Opto1,216.1975,0.21125
Opto1,216.4645,0.21125
Opto1,216.7315,0.21125
Opto1,216.99875,0.22775
Opto1,217.26575,0.228
Opto1,217.53275,0.228
Opto1,217.79975,0.228
Opto1,218.08375,0.21125
Opto1,218.35075,0.228
Opto1,218.61775,0.228
Opto1,218.88475,0.228
Opto1,219.152,0.228
Opto1,219.419,0.228
Opto1,219.70275,0.21125
Opto1,219.97,0.22775
Opto1,220.237,0.228
Opto1,220.504,0.228
Opto1,220.771,0.228
Opto1,221.055,0.21125
Opto1,221.77275,0.21125
Opto1,222.03975,0.228
Opto1,222.30675,0.228
Opto1,222.57375,0.228
Opto1,222.85775,0.21125
Opto1,223.108,0.228
Opto1,223.39175,0.21125
Opto1,223.659,0.21125
Opto1,223.926,0.228
Opto1,224.193,0.228
Opto1,224.46,0.228
Opto1,224.744,0.21125
Opto1,225.011,0.228
Opto1,225.278,0.228
Opto1,225.545,0.228
Opto1,225.812,0.22825
Opto1,226.096,0.21125
Opto1,226.363,0.21125
Opto1,226.63,0.228
Opto1,227.348,0.22775
Opto1,227.615,0.228
Opto1,227.882,0.228
Opto1,228.149,0.228
Opto1,228.433,0.21125
Opto1,228.7,0.228
Opto1,228.967,0.228
Opto1,229.234,0.228
Opto1,229.501,0.22825
Opto1,229.785,0.21125
Opto1,230.50275,0.228
Opto1,230.76975,0.228
